category,locale,title,sitemapUrl,canonicalUrl,finalUrl,textChars,signals,headings,localText
00-home,en,Claude,https://claude.com,https://claude.com,https://claude.com/,5553,product|role-industry|conversion|marketplace|education|proof|developer|trust,Skip to main content Meet Claude | Products | Claude | Claude Code | Claude Cowork | @Claude | Features | Claude for Chrome | Claude for Microsoft 365 | Skills | Claude apps built for | Design | Science | Security | Models | Mythos,sources\text\claude_com__home__be694f7aeb0b.txt
00-home,de,Claude,https://claude.com/de,https://claude.com/,https://claude.com/de,6206,product|role-industry|conversion|marketplace|education|proof|developer|trust,Skip to main content Lernen Sie Claude kennen | Produkte | Claude | Claude Code | Claude Cowork | Claude Security | Funktionen | Claude for Chrome | Claude for Slack | Claude for Microsoft 365 | Fähigkeiten | Modelle | Opus | Sonnet | Haiku | Plattform,sources\text\claude_com__de__796a7cce0ac1.txt
00-home,fr,Claude,https://claude.com/fr,https://claude.com/,https://claude.com/fr,6724,product|role-industry|conversion|marketplace|proof|developer|trust,Skip to main content Découvrez Claude | Produits | Claude | Claude Code | Claude Cowork | Claude Security | Fonctionnalités | Claude for Chrome | Claude for Slack | Claude for Microsoft 365 | Compétences | Modèles | Opus | Sonnet | Haiku | Plateforme,sources\text\claude_com__fr__4f6af6b8c672.txt
00-home,it,Claude,https://claude.com/it,https://claude.com/,https://claude.com/it,6248,product|role-industry|conversion|marketplace|education|proof|developer|trust,Skip to main content Scopri Claude | Prodotti | Claude | Claude Code | Claude Cowork | @Claude | Funzionalità | Claude for Chrome | Claude for Microsoft 365 | Skills | App di Claude per | Design | Sicurezza | Modelli | Mythos | Fable,sources\text\claude_com__it__90b51f29c839.txt
00-home,ja,Claude,https://claude.com/ja,https://claude.com/,https://claude.com/ja,3601,product|role-industry|marketplace|developer|trust,Skip to main content Claude について | Claude | Claude Code | Claude Cowork | Claude Security | Claude for Chrome | Claude for Slack | Claude for Microsoft 365 | Opus | Sonnet | Haiku | プラットフォーム | 開発者向けドキュメント | コンソールログイン | ソリューション | ユースケース,sources\text\claude_com__ja__42cbd4cb9687.txt
00-home,ko,Claude,https://claude.com/ko,https://claude.com/,https://claude.com/ko,3447,product|role-industry|marketplace|developer|trust,Skip to main content Claude 만나보기 | Claude | Claude Code | Claude Cowork | Claude Security | Claude for Chrome | Claude for Slack | Claude for Microsoft 365 | Opus | Sonnet | Haiku | 개발자 문서 | 콘솔 로그인 | 사용 사례 | AI 에이전트 | 고객 지원,sources\text\claude_com__ko__2c35b97aea70.txt
01-product,de,Claude Code for Enterprise | Claude by Anthropic,https://claude.com/de/product/claude-code/enterprise,https://claude.com/product/claude-code/enterprise,https://claude.com/de/product/claude-code/enterprise,24127,product|role-industry|conversion|marketplace|proof|developer|trust,Das ist Claude | Produkte | Claude | Claude Code | Claude Cowork | @Claude | Funktionen | Claude für Chrome | Claude für Microsoft 365 | Skills | Claude apps built for | Design | Science | Security | Modelle | Opus,sources\text\claude_com__de-product-claude-code-enterprise__63e58cf2fa50.txt
01-product,en,Claude Code for Enterprise | Claude by Anthropic,https://claude.com/product/claude-code/enterprise,https://claude.com/product/claude-code/enterprise,https://claude.com/product/claude-code/enterprise,22787,product|role-industry|conversion|marketplace|education|proof|developer|trust,Meet Claude | Products | Claude | Claude Code | Claude Cowork | @Claude | Features | Claude for Chrome | Claude for Microsoft 365 | Skills | Claude apps built for | Design | Science | Security | Models | Mythos,sources\text\claude_com__product-claude-code-enterprise__152fba8f3f51.txt
01-product,fr,Plan Enterprise | Claude,https://claude.com/fr/product/claude-code/enterprise,https://claude.com/product/claude-code/enterprise,https://claude.com/fr/product/claude-code/enterprise,25393,product|role-industry|conversion|marketplace|developer|trust,Découvrez Claude | Produits | Claude | Claude Code | Claude Cowork | @Claude | Fonctionnalités | Claude for Chrome | Claude for Microsoft 365 | Skills | Claude apps built for | Design | Science | Security | Modèles | Opus,sources\text\claude_com__fr-product-claude-code-enterprise__3f7b04db6a7c.txt
01-product,ja,Claude Code for Enterprise | Claude by Anthropic,https://claude.com/ja/product/claude-code/enterprise,https://claude.com/product/claude-code/enterprise,https://claude.com/ja/product/claude-code/enterprise,12945,product|role-industry|conversion|marketplace|developer|trust,Claude の紹介 | Claude | Claude Code | Claude Cowork | @Claude | Claude for Chrome | Claude for Microsoft 365 | Claude apps built for | Design | Science | Security | Opus | Fable | Opus | Sonnet | Haiku,sources\text\claude_com__ja-product-claude-code-enterprise__5bfb1bf4aa7a.txt
01-product,ko,Claude Code for Enterprise | Claude by Anthropic,https://claude.com/ko/product/claude-code/enterprise,https://claude.com/product/claude-code/enterprise,https://claude.com/ko/product/claude-code/enterprise,13545,product|role-industry|conversion|marketplace|developer|trust,Claude를 만나보세요 | Claude | Claude Code | Claude Cowork | @Claude | Claude for Chrome | Claude for Microsoft 365 | Skills | Claude apps built for | Design | Science | Security | Opus | Fable | Opus | Sonnet,sources\text\claude_com__ko-product-claude-code-enterprise__05e7d3f34bcd.txt
